edge_id,node_a,node_b
0,0,21
1,1,22
2,2,23
3,3,24
4,4,25
5,5,26
6,6,27
7,7,28
8,8,29
9,9,30
10,10,31
11,11,32
12,12,33
13,13,34
14,14,35
15,15,36
16,16,37
17,17,38
18,18,40
19,19,39
20,20,41
21,21,42
22,22,43
23,23,44
24,24,45
25,25,46
26,25,47
27,26,48
28,27,49
29,27,50
30,28,52
31,29,53
32,29,54
33,30,55
34,31,56
35,31,57
36,32,58
37,32,59
38,33,61
39,34,64
40,34,65
41,35,66
42,36,67
43,37,68
44,38,70
45,39,73
46,40,71
47,40,72
48,41,74
49,41,75
50,42,76
51,43,77
52,44,78
53,45,79
54,46,80
55,47,81
56,48,82
57,49,83
58,50,84
59,51,52
60,51,85
61,52,86
62,53,87
63,54,89
64,55,90
65,55,91
66,56,92
67,57,93
68,58,94
69,59,60
70,60,95
71,61,63
72,61,96
73,62,97
74,62,98
75,63,99
76,64,98
77,65,100
78,66,101
79,66,102
80,67,103
81,67,104
82,68,105
83,68,107
84,69,106
85,70,108
86,71,109
87,72,110
88,73,111
89,74,112
90,75,113
91,76,114
92,77,115
93,78,116
94,79,117
95,80,118
96,81,119
97,82,121
98,83,120
99,84,123
100,85,122
101,86,125
102,87,124
103,88,125
104,88,126
105,89,127
106,90,128
107,91,129
108,92,130
109,93,132
110,94,131
111,95,97
112,96,133
113,99,134
114,100,135
115,101,136
116,102,138
117,103,137
118,104,139
119,105,142
120,106,140
121,107,144
122,108,143
123,109,145
124,110,146
125,111,149
126,112,147
127,113,150
128,114,151
129,115,152
130,116,153
131,117,155
132,118,154
133,119,156
134,120,157
135,121,158
136,122,159
137,123,160
138,124,160
139,126,161
140,127,162
141,128,161
142,129,163
143,130,164
144,131,165
145,132,166
146,133,168
147,134,169
148,135,171
149,136,170
150,137,172
151,138,173
152,139,141
153,139,175
154,140,175
155,141,176
156,142,174
157,143,176
158,144,177
159,145,178
160,146,148
161,146,179
162,147,180
163,148,182
164,149,181
165,150,182
166,151,183
167,152,184
168,153,185
169,154,187
170,155,186
171,156,157
172,158,188
173,159,189
174,162,190
175,163,191
176,164,192
177,165,193
178,166,167
179,166,194
180,167,168
181,169,170
182,169,195
183,171,196
184,172,197
185,173,198
186,174,198
187,175,199
188,176,200
189,177,178
190,179,202
191,180,201
192,181,203
193,183,204
194,184,205
195,185,187
196,186,207
197,187,206
198,188,208
199,189,209
200,190,210
201,191,211
202,192,212
203,193,213
204,194,214
205,195,215
206,196,216
207,197,217
208,198,219
209,199,218
210,200,220
211,201,221
212,202,222
213,203,223
214,204,224
215,205,225
216,206,227
217,207,226
218,208,228
219,209,229
220,210,230
221,211,231
222,212,232
223,213,233
224,214,234
225,215,235
226,216,236
227,217,237
228,218,238
229,219,239
230,220,240
231,221,241
232,222,242
233,223,243
234,224,244
235,225,245
236,226,247
237,227,246
238,228,248
239,229,249
240,230,250
241,231,251
242,232,252
243,233,253
244,234,254
245,235,255
246,236,256
247,237,257
248,238,258
249,239,259
250,240,260
251,241,261
252,242,262
253,243,263
254,244,264
255,245,265
256,246,267
257,247,266
258,248,268
259,249,269
260,250,270
261,251,271
262,252,272
263,253,273
264,254,274
265,255,275
266,256,276
267,257,277
268,258,278
269,259,279
270,260,280
271,261,281
272,262,282
273,263,283
274,264,285
275,265,284
276,266,287
277,267,286
278,268,288
279,269,289
280,270,290
281,271,291
282,272,292
283,273,293
284,274,294
285,275,295
286,276,296
287,277,297
288,278,298
289,279,299
290,280,300
291,281,302
292,282,301
293,283,303
294,284,305
295,285,304
296,286,307
297,287,306
298,288,308
299,289,309
300,290,310
301,291,311
302,292,312
303,293,313
304,294,314
305,295,315
306,296,316
307,297,317
308,298,319
309,299,318
310,300,320
311,301,321
312,302,322
313,303,323
314,304,324
315,305,325
316,306,327
