skeleton_point_id,x,y,z,r,theta,node_type,degree,neighbor_ids
0,-2.105303638378282,-0.0011067981625063857,-6.175491302883014,2.1053039293106837,-3.1410669346196816,junction,4,"[9, 30, 31, 8]"
1,-1.4874231151939774,-1.4916934797645403,-6.175491302883014,2.1065557104395314,-2.354761057995372,line,2,"[11, 10]"
2,-0.016843152092253233,-2.1040380847006888,-6.175491302883014,2.104105499646666,-1.5788013113266446,junction,3,"[13, 12, 14]"
3,1.477877620464403,-1.4990057239536583,-6.175491302883014,2.1050274158583675,-0.7924954347023347,junction,3,"[15, 16, 17]"
4,2.101066542551905,-0.013004839465870869,-6.175491302883014,2.101106789784981,-0.006189558078024511,junction,3,"[18, 20, 19]"
5,1.4948820538412344,1.4791734082322086,-6.175491302883014,2.1030041194723976,0.7801163185462857,junction,3,"[21, 23, 22]"
6,0.009198618181773761,2.1029452942823013,-6.175491302883014,2.1029654122977224,1.566422195170596,junction,3,"[26, 25, 24]"
7,-1.483527856902897,1.493848731222851,-6.175491302883014,2.1053358245142326,2.3527280717949055,junction,3,"[29, 28, 27]"
8,-2.105394500682082,0.005387095551394345,-6.175491302883014,2.105401392680463,3.1390339484192156,junction,4,"[0, 9, 30, 31]"
9,-2.1053958892050813,-0.0011068466605205106,-6.153462775385852,2.105396180150231,-3.1410669346196816,junction,5,"[0, 32, 30, 31, 8]"
10,-1.5028664944438606,-1.4763132626012452,-6.153462775385852,2.1066818814083703,-2.365107187950955,junction,3,"[11, 1, 33]"
11,-1.487452812662415,-1.4917232624938666,-6.153462775385852,2.106597769333926,-2.354761057995372,junction,3,"[34, 1, 10]"
12,-0.03861116018356752,-2.1037864396561425,-6.153462775385852,2.104140728509334,-1.5891474412822277,junction,3,"[13, 2, 35]"
13,-0.016841408771157692,-2.103820309906589,-6.153462775385852,2.1038877178749,-1.5788013113266446,junction,3,"[2, 12, 14]"
14,0.004928146161803959,-2.1050111231738815,-6.153462775385852,2.105016891929934,-1.5684551813710617,junction,3,"[13, 2, 36]"
15,1.462811624590741,-1.5147557963918807,-6.153462775385852,2.105778471668044,-0.8028415646579179,junction,3,"[37, 3, 16]"
